Evolution,Iteration,Chromosome,Fitness
0,4,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",42937
0,4,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",32382
0,4,"[-7.4529, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",17052
0,5,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,5,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,5,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",100502
0,5,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",92061
0,5,"[-80.9925, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",69895
0,5,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",69779
0,5,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",54131
0,5,"[84.0211, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",41247
0,5,"[-80.9925, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",39152
0,5,"[-0.95, -21.01, -22.22, -70.5877, 18.95, 93.26, 0.68, 51.33, 77.79]",32724
0,5,"[-0.95, -21.01, -22.22, -47.07, -46.1704, 56.1614, 0.68, 51.33, 77.79]",28351
0,5,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",15876
0,6,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,6,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,6,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",100502
0,6,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",92061
0,6,"[-80.9925, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",69895
0,6,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",69779
0,6,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,6,"[88.7948, -21.01, -22.22, -70.5877, -84.6, 81.88, 9.17, 64.5, 94.49]",65590
0,6,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",58380
0,6,"[84.0211, -21.01, -22.22, -47.07, -56.9001, 93.26, 0.68, 51.33, 77.79]",51154
0,6,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",42503
0,6,"[-0.95, -21.01, -22.22, -47.07, -46.1704, 56.1614, 0.68, 51.33, 77.79]",38139
0,7,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
